"","subunit_1","subunit_2"
"Activin AB_1","inhbab","inhbb"
"Activin AB_2","inhbaa","inhbb"
"Inhibin A_1","inha","inhbab"
"Inhibin A_2","inha","inhbaa"
"Inhibin B","inha","inhbb"
"IL12AB_1","il12a","il12ba"
"IL12AB_2","il12a","il12bb"
"IL12AB_3","zmp:0000001127","il12ba"
"IL12AB_4","zmp:0000001127","il12bb"
"ACVR1B_ACVR2A_1","acvr1bb","acvr2aa"
"ACVR1B_ACVR2A_2","acvr1bb","acvr2ab"
"ACVR1B_ACVR2A_3","acvr1ba","acvr2aa"
"ACVR1B_ACVR2A_4","acvr1ba","acvr2ab"
"ACVR1B_ACVR2A_CFC1_1","acvr1bb","acvr2aa"
"ACVR1B_ACVR2A_CFC1_2","acvr1bb","acvr2ab"
"ACVR1B_ACVR2A_CFC1_3","acvr1ba","acvr2aa"
"ACVR1B_ACVR2A_CFC1_4","acvr1ba","acvr2ab"
"ACVR1B_ACVR2B_1","acvr1bb","acvr2ba"
"ACVR1B_ACVR2B_2","acvr1bb","acvr2bb"
"ACVR1B_ACVR2B_3","acvr1ba","acvr2ba"
"ACVR1B_ACVR2B_4","acvr1ba","acvr2bb"
"ACVR1B_ACVR2B_CFC1_1","acvr1bb","acvr2ba"
"ACVR1B_ACVR2B_CFC1_2","acvr1bb","acvr2bb"
"ACVR1B_ACVR2B_CFC1_3","acvr1ba","acvr2ba"
"ACVR1B_ACVR2B_CFC1_4","acvr1ba","acvr2bb"
"ACVR1B_BMPR2_1","acvr1bb","bmpr2b"
"ACVR1B_BMPR2_2","acvr1ba","bmpr2b"
"ACVR1B_TGFbR2_1","acvr1bb","tgfbr2b"
"ACVR1B_TGFbR2_2","acvr1bb","tgfbr2a"
"ACVR1B_TGFbR2_3","acvr1ba","tgfbr2b"
"ACVR1B_TGFbR2_4","acvr1ba","tgfbr2a"
"ACVR1C_TGFbR2_1","acvr1cb","tgfbr2b"
"ACVR1C_TGFbR2_2","acvr1cb","tgfbr2a"
"ACVR1C_TGFbR2_3","acvr1ca","tgfbr2b"
"ACVR1C_TGFbR2_4","acvr1ca","tgfbr2a"
"ACVRL1_ACVR2A_1","acvr1l","acvr2aa"
"ACVRL1_ACVR2A_2","acvr1l","acvr2ab"
"ACVRL1_ACVR2A_3","acvrl1","acvr2aa"
"ACVRL1_ACVR2A_4","acvrl1","acvr2ab"
"ACVRL1_BMPR2_1","acvr1l","bmpr2b"
"ACVRL1_BMPR2_2","acvrl1","bmpr2b"
"BMPR1A_ACVR2A_1","bmpr1ab","acvr2aa"
"BMPR1A_ACVR2A_2","bmpr1ab","acvr2ab"
"BMPR1A_ACVR2A_3","bmpr1aa","acvr2aa"
"BMPR1A_ACVR2A_4","bmpr1aa","acvr2ab"
"BMPR1A_ACVR2B_1","bmpr1ab","acvr2ba"
"BMPR1A_ACVR2B_2","bmpr1ab","acvr2bb"
"BMPR1A_ACVR2B_3","bmpr1aa","acvr2ba"
"BMPR1A_ACVR2B_4","bmpr1aa","acvr2bb"
"BMPR1A_BMPR2_1","bmpr1ab","bmpr2b"
"BMPR1A_BMPR2_2","bmpr1aa","bmpr2b"
"BMPR1B_ACVR2A_1","bmpr1ba","acvr2aa"
"BMPR1B_ACVR2A_2","bmpr1ba","acvr2ab"
"BMPR1B_ACVR2A_3","bmpr1bb","acvr2aa"
"BMPR1B_ACVR2A_4","bmpr1bb","acvr2ab"
"BMPR1B_ACVR2B_1","bmpr1ba","acvr2ba"
"BMPR1B_ACVR2B_2","bmpr1ba","acvr2bb"
"BMPR1B_ACVR2B_3","bmpr1bb","acvr2ba"
"BMPR1B_ACVR2B_4","bmpr1bb","acvr2bb"
"BMPR1B_BMPR2_1","bmpr1ba","bmpr2b"
"BMPR1B_BMPR2_2","bmpr1bb","bmpr2b"
"CD74_CD44_1","cd74a","cd44a"
"CD74_CD44_2","cd74a","cd44b"
"CD74_CD44_3","cd74b","cd44a"
"CD74_CD44_4","cd74b","cd44b"
"CD74_CXCR2_1","cd74a","cxcr2"
"CD74_CXCR2_2","cd74b","cxcr2"
"CD74_CXCR4_1","cd74a","cxcr4a"
"CD74_CXCR4_2","cd74a","cxcr4b"
"CD74_CXCR4_3","cd74b","cxcr4a"
"CD74_CXCR4_4","cd74b","cxcr4b"
"CD8 receptor","cd8a","cd8b"
"CNTFR_LIFR","cntfr","osmr"
"CNTN2_CNTNAP2","robo4","cntnap2b"
"EGFR_ERBB2","egfra","erbb2"
"ERBB2_ERBB3_1","erbb2","erbb3a"
"ERBB2_ERBB3_2","erbb2","erbb3b"
"ERBB2_ERBB4_1","erbb2","erbb4a"
"ERBB2_ERBB4_2","erbb2","si:ch73-383l1.1"
"ERBB2_ERBB4_3","erbb2","erbb4b"
"FLT1_KDR","flt1","kdr"
"FLT4_KDR","flt4","kdr"
"FZD1_LRP5","fzd1","lrp5"
"FZD1_LRP6","fzd1","lrp6"
"FZD10_LRP5","fzd10","lrp5"
"FZD10_LRP6","fzd10","lrp6"
"FZD2_LRP5","fzd2","lrp5"
"FZD2_LRP6","fzd2","lrp6"
"FZD3_LRP5_1","fzd3b","lrp5"
"FZD3_LRP5_2","fzd3a","lrp5"
"FZD3_LRP6_1","fzd3b","lrp6"
"FZD3_LRP6_2","fzd3a","lrp6"
"FZD4_LRP5","fzd4","lrp5"
"FZD4_LRP6","fzd4","lrp6"
"FZD5_LRP5","fzd5","lrp5"
"FZD5_LRP6","fzd5","lrp6"
"FZD6_LRP5","fzd6","lrp5"
"FZD6_LRP6","fzd6","lrp6"
"FZD7_LRP5_1","fzd7b","lrp5"
"FZD7_LRP5_2","fzd7a","lrp5"
"FZD7_LRP6_1","fzd7b","lrp6"
"FZD7_LRP6_2","fzd7a","lrp6"
"FZD8_LRP5_1","fzd8a","lrp5"
"FZD8_LRP5_2","fzd8b","lrp5"
"FZD8_LRP6_1","fzd8a","lrp6"
"FZD8_LRP6_2","fzd8b","lrp6"
"FZD9_LRP5_1","fzd9b","lrp5"
"FZD9_LRP5_2","fzd9a","lrp5"
"FZD9_LRP6_1","fzd9b","lrp6"
"FZD9_LRP6_2","fzd9a","lrp6"
"GFRA1_RET_1","gfra1a","ret"
"GFRA1_RET_2","gfra1b","ret"
"GFRA2_RET_1","gfra2a","ret"
"GFRA2_RET_2","gfra2b","ret"
"GFRA3_RET","gfra3","ret"
